id,game_id,name,storyline,first_release_date,follow_count,hype_count,critic_rating_value,critic_rating_count,user_rating_value,user_rating_count
129975,673,DOOM,"The player takes the role of a marine (unnamed to further represent the person playing), ""one of Earth's toughest, hardened in combat and trained for action"", who has been incarcerated on Mars after assaulting a senior officer when ordered to fire upon civilians. There, he works alongside the Union Aerospace Corporation (UAC), a multi-planetary conglomerate and military contractor performing secret experiments on interdimensional travel. Recently, the teleportation has shown signs of anomalies and instability, but the research continues nonetheless.

Suddenly, something goes wrong and creatures from hell swarm out of the teleportation gates on Deimos and Phobos. A defensive response from base security fails to halt the invasion, and the bases are quickly overrun by monsters; all personnel are killed or turned into zombies

A military detachment from Mars travels to Phobos to investigate the incident. The player is tasked with securing the perimeter, as the assault team and their heavy weapons are brought inside. Radio contact soon ceases and the player realizes that he is the only survivor. Being unable to pilot the shuttle off of Phobos by himself, the only way to escape is to go inside and fight through the complexes of the moon base.",1993-12-10 00:00:00.000,345,1,80.0000,4,84.4272,784
130027,5385,Fatal Fury Special,"Geese Howard: a man feared by the world as the dark ruler of South Town. He shocked the land with his violent techniques and was confident that no one could ever top him. To rid himself of the man, Geese took the life the street champ, Jeff Bogard. However, several years later, three men arose to stop Geese's ambition. They were the sons of the dead Jeff, Terry and Andy Bogard, and Muai Thai champ, Joe Higashi.

After Geese was defeated by them, he was believed to be dead. However, as time passed, a disturbing rumor began to float around the world.

Geese is alive.

His elder half-brother, Wolfgang Krauser, took the reigns of the underworld after his younger brother's passing. However, the resurrected Geese deprives Krauser his seat of glory and the Bogard brothers burn with the flames of revenge. Terry and Andy hear where Geese is located.

""We're coming for you, Geese!""

A new legend is about to begin.",1993-01-16 00:00:00.000,2,NULL,70.0000,1,70.0711,24
130172,191663,Downtown Special: Kunio-kun no Jidaigeki Da yo Zenin Shuugou!,NULL,1993-12-22 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
130300,41007,Fist Fighter,NULL,1993-11-04 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
130310,3800,Dungeon Master: Theron's Quest,NULL,1993-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
130326,13053,Morph,NULL,1993-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
130410,40017,Sengoku Ace,"The science fantasy story of Sengoku Ace resolves around the six Feudal Japan (Sengoku period) characters sent on a mission to stop an evil cult and rescue the shogun's kidnapped daughter, princess Tsukihime (Moon Princess), before she can be used as a sacrifice to resurrect their demon god.",1993-04-22 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
130575,79531,Classic Collection: Adventure/Fantasy,NULL,1993-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
130683,1927,Police Quest: Open Season,NULL,1993-12-31 00:00:00.000,2,NULL,NULL,NULL,NULL,NULL
130692,49007,The Flintstones: King Rock Treasure Island,NULL,1993-03-01 00:00:00.000,NULL,NULL,NULL,NULL,43.0000,0
130710,4241,Fun 'N Games,NULL,1993-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
130930,37898,Pachi-Slot Love Story,NULL,1993-12-19 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
131016,78148,Vlak,NULL,1993-01-01 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
131183,14340,Bram Stoker's Dracula,NULL,1993-12-31 00:00:00.000,NULL,NULL,NULL,NULL,60.0192,5
131448,49027,Pyramids of Ra,NULL,1993-05-01 00:00:00.000,NULL,NULL,NULL,NULL,48.0000,0
131486,4371,Chuck Rock II: Son of Chuck,NULL,1993-12-31 00:00:00.000,NULL,NULL,NULL,NULL,48.6019,6
131517,2211,Betrayal at Krondor,NULL,1993-06-22 00:00:00.000,1,NULL,NULL,NULL,79.7036,8
131640,154416,Mortal Kombat 1+2+3,"Five hundred years ago, an ancient and well respected Shaolin fighting tournament, held every 50 years, was corrupted by an evil and elderly sorcerer by the name of Shang Tsung. Shang was accompanied by Prince Goro, a warrior of the Shokan race (a four-armed half-human / half-dragon). Knowing that if ten tournaments in a row were won by the Outworld champion, the Earth Realm would be conquered by evil and fall into darkness, Shang entered Goro in the tournament and had him defeat the great Kung Lao. Goro has been reigning supreme as the undefeated fighting champion for five hundred years now. As the last tournament required draws near, Raiden, Thunder God and protector of the Earth Realm, enacts a plan to tip the scales in the humans' favor, Seven fighters step into the arena on Shang Tsung's mysterious island: Shaolin warrior Liu Kang, Special Forces operative Sonya Blade, the mercenary thug Kano, fame-seeking actor Johnny Cage, the ice-wielding Lin Kuei warrior Sub-Zero and his undead adversary Scorpion, and Raiden himself.",1993-01-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
